source,target,p_val,lag
TSLA,HD,0.01967099154587682,4
TSLA,JNJ,0.00019478410058819124,4
TSLA,PFE,0.03792307865064915,3
TSLA,UNH,0.0009904352201333406,4
UNH,AAPL,1.4541426908923443e-05,2
UNH,ABBV,0.014849640667323603,2
UNH,AMZN,6.618560817711246e-05,3
UNH,BA,7.309084290638187e-05,3
UNH,BAC,2.3344594960886607e-05,2
UNH,BRK-B,8.152715582819298e-05,1
UNH,CAT,6.117265048336817e-05,1
UNH,COP,2.1372872263866747e-06,3
UNH,CVX,1.398797333766239e-06,5
UNH,GE,0.0004796534137286697,5
UNH,GOOGL,1.9118696258761982e-05,1
UNH,GS,1.0073197972186904e-05,3
UNH,HD,3.1383709977951677e-12,4
UNH,HON,0.009452461732002244,2
UNH,JNJ,3.582791972456767e-05,5
UNH,JPM,0.0007613028805081109,1
UNH,LLY,9.900603066470819e-05,2
UNH,META,6.998182861290157e-05,3
UNH,MSFT,2.4374457373680426e-07,4
UNH,NEE,3.131101967375489e-05,4
UNH,NKE,0.013414713385365002,4
UNH,NVDA,0.0008811329682514615,2
UNH,PFE,0.0001735096754856922,2
UNH,SLB,2.67441032997756e-06,3
UNH,TSLA,0.005561712681452674,3
UNH,UPS,2.8399684567214026e-05,2
UNH,V,8.449994728533366e-06,4
UNH,WMT,7.151169598505189e-07,4
UNH,XOM,4.24681180241817e-07,2
UPS,AMZN,0.01940351802457131,3
UPS,BA,0.0003653585665435218,1
UPS,COP,0.03858884528164883,1
UPS,CVX,0.0013629893493632677,5
UPS,JNJ,0.0403474510462884,1
UPS,LLY,0.0008711076769152012,4
UPS,XOM,0.03825337158661963,4
V,AAPL,1.3993982249825894e-05,3
V,ABBV,0.0034353326996485133,1
V,AMZN,0.004541555096319496,1
V,BA,0.005195451804886959,1
V,BAC,0.03463033299524715,1
V,CAT,0.0019250771353281114,1
V,COP,0.01763750644657564,3
V,CVX,0.01737390439724354,1
V,GOOGL,0.00191062375463863,1
V,GS,0.04924765245913215,1
V,HD,3.006013888351166e-08,4
V,JNJ,0.0003225684573761694,1
V,LLY,0.0018747503512873108,1
V,META,0.0007665857608088845,1
V,MSFT,8.805711172957387e-06,1
V,NEE,0.0015664845571547765,3
V,NVDA,4.234913374249267e-06,1
V,PFE,0.000442441411651971,1
V,SLB,0.015199091571270695,3
V,UNH,0.012649223906911403,2
V,UPS,7.56494601682841e-05,2
V,WMT,8.401146176967239e-07,3
V,XOM,0.00010080510018660532,2
WMT,AAPL,0.03417291410083621,1
WMT,ABBV,0.020770711877134536,1
WMT,BA,6.638441650646557e-05,1
WMT,BAC,0.010792490399812135,1
WMT,BRK-B,0.0023342828745809147,5
WMT,COP,0.0010848494129885801,3
WMT,CVX,2.729696546496569e-06,5
WMT,GE,0.0014833118826133047,5
WMT,GOOGL,0.01848775239949734,1
WMT,GS,0.04155233792723573,1
WMT,HD,4.7887565368421374e-05,1
WMT,HON,0.0030727883835946477,5
WMT,JNJ,0.019197180743112448,5
WMT,JPM,0.0006571627541706489,1
WMT,LLY,0.0035079661931537234,4
WMT,META,0.005612404238097477,1
WMT,MSFT,0.00717383615213278,4
WMT,NEE,0.035997080599552,3
WMT,PFE,0.03540193300800599,1
WMT,SLB,0.036945728116745985,3
WMT,TSLA,0.022624597726815163,2
WMT,UNH,0.0008715990984381162,1
WMT,UPS,0.033527724540680016,1
WMT,V,0.00012582680975265683,5
WMT,XOM,0.0005624207425760352,3
XOM,AAPL,8.14206482021671e-05,4
XOM,AMZN,0.003631774549053815,1
XOM,BAC,0.029098625778440163,5
XOM,BRK-B,0.01603498849227775,4
XOM,COP,0.011046769339346061,3
XOM,CVX,9.875241250846216e-08,5
XOM,GOOGL,0.009464003909977172,4
XOM,HD,0.013514413112518454,4
XOM,JNJ,0.02786857289983041,5
XOM,META,0.00958794378085113,4
XOM,MSFT,2.2162085191055022e-05,4
XOM,NEE,0.0016617815089092565,4
XOM,NKE,0.041357758192238546,4
XOM,NVDA,0.0012806290295951975,1
XOM,PFE,0.03880545450770381,5
XOM,UPS,0.021765747784914913,4
XOM,V,0.022695493015583688,4
XOM,WMT,2.1898365916659873e-05,1
